title,category,price_gbp,rating,availability,upc,scraped_at
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Sequential Art,50.4,3,16,c82a3e358c773c73,2026-03-31 17:00:33
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Sequential Art,13.61,5,16,0fa6dceead7ce47a,2026-03-31 17:00:33
"Pop Gun War, Volume 1: Gift",Sequential Art,18.97,1,16,e80f8e518b300dfe,2026-03-31 17:00:33
Patience,Sequential Art,10.16,3,16,9429b4d59c537af5,2026-03-31 17:00:33
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Sequential Art,15.44,4,16,889139b8e9c4cb36,2026-03-31 17:00:33
orange: The Complete Collection 1 (orange: The Complete Collection #1),Sequential Art,48.41,1,16,11809b1d323b3057,2026-03-31 17:00:33
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,46.91,2,16,460089f796fb3f82,2026-03-31 17:00:33
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,45.61,3,16,b6ee99bcf06fc91f,2026-03-31 17:00:33
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,19.92,2,16,57e5a4d515c8ce44,2026-03-31 17:00:33
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",Sequential Art,29.17,2,16,8d4eefad7a2b3915,2026-03-31 17:00:33
I am a Hero Omnibus Volume 1,Sequential Art,54.63,3,16,1c89ae5bb804e4de,2026-03-31 17:00:33
"Giant Days, Vol. 2 (Giant Days #5-8)",Sequential Art,22.11,2,16,f2df3bb043a8abb0,2026-03-31 17:00:33
Danganronpa Volume 1,Sequential Art,51.99,4,16,09b6cc87e62c2c58,2026-03-31 17:00:33
"Codename Baboushka, Volume 1: The Conclave of Death",Sequential Art,36.72,4,16,8754c83ab2a7ae71,2026-03-31 17:00:33
Camp Midnight,Sequential Art,17.08,4,16,7b599c8bfcdd8d30,2026-03-31 17:00:33
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",Sequential Art,37.92,2,16,bdf415fd484ea8a7,2026-03-31 17:00:33
The Shadow Hero (The Shadow Hero),Sequential Art,33.14,1,15,d6361d16212664ed,2026-03-31 17:00:33
"Fables, Vol. 1: Legends in Exile (Fables #1)",Sequential Art,41.62,4,15,65d034adf80834b7,2026-03-31 17:00:33
Batman: The Long Halloween (Batman),Sequential Art,36.5,2,15,7edc0527cf782e19,2026-03-31 17:00:33
Batman: The Dark Knight Returns (Batman),Sequential Art,15.38,5,15,47271d8e08b5d31c,2026-03-31 17:00:33
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",Sequential Art,37.34,4,14,047097293bb4d1c0,2026-03-31 17:00:33
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",Sequential Art,53.9,1,14,92275cedf6d8ee15,2026-03-31 17:00:33
Through the Woods,Sequential Art,25.38,2,14,6e44bcbeac7f4360,2026-03-31 17:00:33
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),Sequential Art,11.89,5,14,ac8e3949d284e9a9,2026-03-31 17:00:33
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",Sequential Art,35.43,4,14,394f6d30cafc3edb,2026-03-31 17:00:33
Robin War,Sequential Art,47.82,3,14,85b2176b3b194030,2026-03-31 17:00:33
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",Sequential Art,25.48,2,14,31e2e2d9cca3778f,2026-03-31 17:00:33
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",Sequential Art,38.39,2,14,71e36f33981ddb74,2026-03-31 17:00:33
Lowriders to the Center of the Earth (Lowriders in Space #2),Sequential Art,51.51,2,14,a10c7515834240f3,2026-03-31 17:00:33
El Deafo,Sequential Art,57.62,5,14,27c5968fe43cc06e,2026-03-31 17:00:33
Batman: Europa,Sequential Art,32.01,2,14,bf68dcb5fad3cc8c,2026-03-31 17:00:33
Art Ops Vol. 1,Sequential Art,48.8,3,14,ffdc825785c0ede8,2026-03-31 17:00:33
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",Sequential Art,10.9,2,14,5319169a72714c62,2026-03-31 17:00:33
"Fruits Basket, Vol. 9 (Fruits Basket #9)",Sequential Art,33.95,4,9,97187f5cf0385da3,2026-03-31 17:00:33
Roller Girl,Sequential Art,14.1,5,8,aeb51dfbe8aeec59,2026-03-31 17:00:33
"Fruits Basket, Vol. 7 (Fruits Basket #7)",Sequential Art,19.57,1,7,de6d7645f192d517,2026-03-31 17:00:33
"Fruits Basket, Vol. 6 (Fruits Basket #6)",Sequential Art,20.96,4,6,97258f576d4bb672,2026-03-31 17:00:33
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",Sequential Art,36.39,3,6,6e06d0f00f6da20f,2026-03-31 17:00:33
"Fruits Basket, Vol. 5 (Fruits Basket #5)",Sequential Art,16.33,1,5,3fd83dcf37bf1bc0,2026-03-31 17:00:33
"Death Note, Vol. 5: Whiteout (Death Note #5)",Sequential Art,52.41,1,5,1c0a38899c82b60a,2026-03-31 17:00:33
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",Sequential Art,27.88,2,4,df53c2948b32bde3,2026-03-31 17:00:33
"Fruits Basket, Vol. 4 (Fruits Basket #4)",Sequential Art,50.44,4,4,8fff1084aa085a13,2026-03-31 17:00:33
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",Sequential Art,14.41,3,3,a33ed2e6068df53e,2026-03-31 17:00:33
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",Sequential Art,55.55,5,3,91eb9605998a7c03,2026-03-31 17:00:33
"Saga, Volume 3 (Saga (Collected Editions) #3)",Sequential Art,21.57,5,3,7b870bf85d01c2dc,2026-03-31 17:00:33
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),Sequential Art,43.63,3,3,9707989a439757b4,2026-03-31 17:00:33
Persepolis: The Story of a Childhood (Persepolis #1-2),Sequential Art,39.13,1,3,cb62418129b864a3,2026-03-31 17:00:33
Original Fake,Sequential Art,31.45,3,3,c59283b05905c853,2026-03-31 17:00:33
"Grayson, Vol 3: Nemesis (Grayson #3)",Sequential Art,42.72,1,3,4f6985aca357ae09,2026-03-31 17:00:33
"Fruits Basket, Vol. 3 (Fruits Basket #3)",Sequential Art,45.17,2,3,d5f5a122a593b580,2026-03-31 17:00:33
"Black Butler, Vol. 1 (Black Butler #1)",Sequential Art,49.31,1,3,15f415d436888b2d,2026-03-31 17:00:33
Awkward,Sequential Art,38.02,2,3,1d89a2aa9f6ce50f,2026-03-31 17:00:33
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",Sequential Art,54.81,1,2,276dc716b1da8899,2026-03-31 17:00:33
"Saga, Volume 2 (Saga (Collected Editions) #2)",Sequential Art,11.75,3,2,9189fd009df41d0e,2026-03-31 17:00:33
"Fruits Basket, Vol. 2 (Fruits Basket #2)",Sequential Art,11.64,5,2,c0db71f6bb14db11,2026-03-31 17:00:33
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",Sequential Art,18.51,4,1,09d26b5f819c6a36,2026-03-31 17:00:33
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",Sequential Art,36.52,2,1,dac9d1e654fac737,2026-03-31 17:00:33
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",Sequential Art,54.12,3,1,5faefdc861684eb1,2026-03-31 17:00:33
The Complete Maus (Maus #1-2),Sequential Art,10.64,3,1,3301af038a720587,2026-03-31 17:00:33
"Skip Beat!, Vol. 01 (Skip Beat! #1)",Sequential Art,42.12,3,1,2ac720f76384c57e,2026-03-31 17:00:33
"Saga, Volume 1 (Saga (Collected Editions) #1)",Sequential Art,28.48,1,1,4f64568dfefa3ce7,2026-03-31 17:00:33
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",Sequential Art,46.96,5,1,3cdca3b4a93980f5,2026-03-31 17:00:33
"Paper Girls, Vol. 1 (Paper Girls #1-5)",Sequential Art,21.71,4,1,bcbcbcf0f6ed196f,2026-03-31 17:00:33
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",Sequential Art,29.87,3,1,326825e02a198cf6,2026-03-31 17:00:33
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",Sequential Art,39.39,4,1,35a60467893aa168,2026-03-31 17:00:33
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",Sequential Art,45.24,3,1,6fe02600f322a0a9,2026-03-31 17:00:33
"Giant Days, Vol. 1 (Giant Days #1-4)",Sequential Art,56.76,4,1,eb0fe24bbc845ecc,2026-03-31 17:00:33
"Fruits Basket, Vol. 1 (Fruits Basket #1)",Sequential Art,40.28,5,1,72e6fbf4f6382557,2026-03-31 17:00:33
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",Sequential Art,34.65,5,1,099fae4a0705d63b,2026-03-31 17:00:33
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",Sequential Art,57.06,4,1,bfd5e1701c862ac3,2026-03-31 17:00:33
The Secret Garden,Classics,15.08,4,5,abbb492978ff656d,2026-03-31 17:00:33
The Metamorphosis,Classics,28.58,1,5,93379e3a2072a01b,2026-03-31 17:00:33
The Pilgrim's Progress,Classics,50.26,2,4,6053ddf69c967d5f,2026-03-31 17:00:33
The Hound of the Baskervilles (Sherlock Holmes #5),Classics,14.82,2,4,6587f46697fc4443,2026-03-31 17:00:33
Little Women (Little Women #1),Classics,28.07,4,4,deda806b68b0aa11,2026-03-31 17:00:33
Gone with the Wind,Classics,32.49,3,4,23310ce84d3c9f85,2026-03-31 17:00:33
Candide,Classics,58.63,3,4,2798974abc8a58a8,2026-03-31 17:00:33
Animal Farm,Classics,57.22,3,4,1451b55e5e56bb89,2026-03-31 17:00:33
Wuthering Heights,Classics,17.73,3,3,5a7ff9aaa3168878,2026-03-31 17:00:33
The Picture of Dorian Gray,Classics,29.7,2,3,b9f6305a3d650e2c,2026-03-31 17:00:33
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),Classics,26.78,4,3,cad70d6ffd53912f,2026-03-31 17:00:33
Beowulf,Classics,38.35,2,3,3fb69f34e178d494,2026-03-31 17:00:33
And Then There Were None,Classics,35.01,2,3,cfe350b20d23b02b,2026-03-31 17:00:33
The Story of Hong Gildong,Classics,43.19,4,1,32d035df92ab9080,2026-03-31 17:00:33
The Little Prince,Classics,45.42,2,1,1aeca7d078d57deb,2026-03-31 17:00:33
Sense and Sensibility,Classics,37.46,1,1,35e44170702139a4,2026-03-31 17:00:33
Of Mice and Men,Classics,47.11,2,1,39592d9d72e717c4,2026-03-31 17:00:33
Emma,Classics,32.93,2,1,2e69730561ed70ad,2026-03-31 17:00:33
Alice in Wonderland (Alice's Adventures in Wonderland #1),Classics,55.53,1,1,cd2a2a70dd5d176d,2026-03-31 17:00:33
Sophie's World,Philosophy,15.94,5,18,6be3beb0793a53e7,2026-03-31 17:00:33
The Death of Humanity: and the Case for Life,Philosophy,58.11,4,16,bd261725b99f5983,2026-03-31 17:00:33
The Stranger,Philosophy,17.44,4,15,f5a92cff83897d48,2026-03-31 17:00:33
Proofs of God: Classical Arguments from Tertullian to Barth,Philosophy,54.21,1,8,d56d0710668bb39c,2026-03-31 17:00:33
Kierkegaard: A Christian Missionary to Christians,Philosophy,47.13,1,8,0cf57cb49272fd37,2026-03-31 17:00:33
"At The Existentialist Café: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",Philosophy,29.93,5,7,6b52904b2ab91bf6,2026-03-31 17:00:33
Critique of Pure Reason,Philosophy,20.75,1,5,429b4a811bef386c,2026-03-31 17:00:33
"Run, Spot, Run: The Ethics of Keeping Pets",Philosophy,20.02,1,2,b0e479be03911916,2026-03-31 17:00:33
The Nicomachean Ethics,Philosophy,36.34,1,1,5c10b64db3e4f228,2026-03-31 17:00:33
Meditations,Philosophy,25.89,2,1,4f19709e47883df5,2026-03-31 17:00:33
Beyond Good and Evil,Philosophy,43.38,1,1,08672cd59171d5e4,2026-03-31 17:00:33
Chase Me (Paris Nights #2),Romance,25.27,5,19,c2e46a2ee3b4a322,2026-03-31 17:00:33
Black Dust,Romance,34.53,5,19,00bfed9e18bb36f3,2026-03-31 17:00:33
Her Backup Boyfriend (The Sorensen Family #1),Romance,33.97,1,16,2a97cffe61c3c4c7,2026-03-31 17:00:33
First and First (Five Boroughs #3),Romance,15.97,4,16,9e28048cea8d41f7,2026-03-31 17:00:33
Fifty Shades Darker (Fifty Shades #2),Romance,21.96,1,16,7add3f8e49ec0826,2026-03-31 17:00:33
The Wedding Dress,Romance,24.12,1,15,623e1a180426039b,2026-03-31 17:00:33
Suddenly in Love (Lake Haven #1),Romance,55.99,2,15,203b7f94b7d6115f,2026-03-31 17:00:33
Something More Than This,Romance,16.24,4,15,ca71e72655bece85,2026-03-31 17:00:33
Doing It Over (Most Likely To #1),Romance,35.61,3,15,3a11bb962ff45b78,2026-03-31 17:00:33
The Wedding Pact (The O'Malleys #2),Romance,32.61,3,14,c5cb9f885d8b3621,2026-03-31 17:00:33
Hold Your Breath (Search and Rescue #1),Romance,28.82,1,14,0b165bd4b9f42fd5,2026-03-31 17:00:33
Dirty (Dive Bar #1),Romance,40.83,4,12,df7e628bad5782b4,2026-03-31 17:00:33
Take Me Home Tonight (Rock Star Romance #3),Romance,53.98,3,11,cf62fa272b5f0fa3,2026-03-31 17:00:33
Off the Hook (Fishing for Trouble #1),Romance,47.67,3,11,b783ce08802cd1d1,2026-03-31 17:00:33
A Gentleman's Position (Society of Gentlemen #3),Romance,14.75,5,11,40c4bf520c17de54,2026-03-31 17:00:33
"Sit, Stay, Love",Romance,20.9,3,7,bd087cf6a846db75,2026-03-31 17:00:33
A Girl's Guide to Moving On (New Beginnings #2),Romance,31.3,1,5,cf3b86489890b9f2,2026-03-31 17:00:33
The Perfect Play (Play by Play #1),Romance,59.99,3,4,9cc207168a03470d,2026-03-31 17:00:33
Dark Lover (Black Dagger Brotherhood #1),Romance,12.87,1,4,2b69d289279aabfd,2026-03-31 17:00:33
Changing the Game (Play by Play #2),Romance,13.38,3,4,aaebac5fda798b1b,2026-03-31 17:00:33
A Walk to Remember,Romance,56.43,1,4,aead11697d14ea36,2026-03-31 17:00:33
The Purest Hook (Second Circle Tattoos #3),Romance,12.25,1,3,969f6c7e86554814,2026-03-31 17:00:33
The Obsession,Romance,45.43,1,3,ee441c8e027caa66,2026-03-31 17:00:33
Reservations for Two,Romance,11.1,3,3,ecdf73ee66c33b17,2026-03-31 17:00:33
Best of My Love (Fool's Gold #20),Romance,27.41,2,3,67dea6c75d6a1075,2026-03-31 17:00:33
Where Lightning Strikes (Bleeding Stars #3),Romance,39.77,3,1,def389ddfda6991b,2026-03-31 17:00:33
This One Moment (Pushing Limits #1),Romance,48.71,1,1,d6d98d3508c30f57,2026-03-31 17:00:33
"Rhythm, Chord & Malykhin",Romance,28.34,2,1,9efb397067eb7e8a,2026-03-31 17:00:33
My Perfect Mistake (Over the Top #1),Romance,38.92,2,1,fd78f89878479f56,2026-03-31 17:00:33
Listen to Me (Fusion #1),Romance,58.99,3,1,6e712ea24e77bd96,2026-03-31 17:00:33
Imperfect Harmony,Romance,34.74,4,1,f28f7299d38c0932,2026-03-31 17:00:33
Fighting Fate (Fighting #6),Romance,39.24,3,1,6390772a3094939d,2026-03-31 17:00:33
Deep Under (Walker Security #1),Romance,47.09,5,1,0072b94dfa30608e,2026-03-31 17:00:33
Charity's Cross (Charles Towne Belles #4),Romance,41.24,1,1,a96404cb928895f3,2026-03-31 17:00:33
Bounty (Colorado Mountain #7),Romance,37.26,4,1,abc0b15f2c907ff0,2026-03-31 17:00:33
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,Womens Fiction,57.36,4,15,fd8585283fc7d2d7,2026-03-31 17:00:33
Will You Won't You Want Me?,Womens Fiction,13.86,3,12,077b635ff2afc578,2026-03-31 17:00:33
Keep Me Posted,Womens Fiction,20.46,4,11,20dc4f1ac5d4fd9c,2026-03-31 17:00:33
Grey (Fifty Shades #4),Womens Fiction,48.49,4,11,b5953ca1f8a0b8d7,2026-03-31 17:00:33
Meternity,Womens Fiction,43.58,3,7,725cd8d23d78cdca,2026-03-31 17:00:33
Some Women,Womens Fiction,13.73,5,4,31f5bbf4974d29c9,2026-03-31 17:00:33
Shopaholic Ties the Knot (Shopaholic #3),Womens Fiction,48.39,5,4,38199c5d7da0c0ef,2026-03-31 17:00:33
Can You Keep a Secret?,Womens Fiction,21.94,1,4,0812f54c93d726ce,2026-03-31 17:00:33
Twenties Girl,Womens Fiction,42.8,2,3,8ebad30219b8679c,2026-03-31 17:00:33
The Undomestic Goddess,Womens Fiction,45.75,4,3,813cff2aefa5d1f0,2026-03-31 17:00:33
The Nanny Diaries (Nanny #1),Womens Fiction,52.53,5,3,6263c1d2997b8ce0,2026-03-31 17:00:33
The Devil Wears Prada (The Devil Wears Prada #1),Womens Fiction,44.29,1,3,a6ab0cb7106a67f2,2026-03-31 17:00:33
Something Borrowed (Darcy & Rachel #1),Womens Fiction,48.96,5,3,ac27ab4bcd9c492e,2026-03-31 17:00:33
Something Blue (Darcy & Rachel #2),Womens Fiction,54.62,1,3,3fc9d51d1c4d6ba7,2026-03-31 17:00:33
I've Got Your Number,Womens Fiction,19.69,1,3,6b32b561dab8036c,2026-03-31 17:00:33
The Edge of Reason (Bridget Jones #2),Womens Fiction,19.18,4,1,29fc016c459aeb14,2026-03-31 17:00:33
Bridget Jones's Diary (Bridget Jones #1),Womens Fiction,29.82,1,1,a2b4b685dfa94733,2026-03-31 17:00:33
Soumission,Fiction,50.1,1,20,6957f44c3847a760,2026-03-31 17:00:33
Private Paris (Private #10),Fiction,47.61,5,17,b12b89017878a60d,2026-03-31 17:00:33
"We Love You, Charlie Freeman",Fiction,50.27,5,16,8d455c7539795d2a,2026-03-31 17:00:33
Thirst,Fiction,17.27,5,16,709822d0b5bcb7f4,2026-03-31 17:00:33
The Murder That Never Was (Forensic Instincts #5),Fiction,54.11,3,16,d01ac97e2b8947c2,2026-03-31 17:00:33
Tuesday Nights in 1980,Fiction,21.04,2,15,b8736690cf263a3c,2026-03-31 17:00:33
The Vacationers,Fiction,42.15,4,15,fd3a622648667296,2026-03-31 17:00:33
The Regional Office Is Under Attack!,Fiction,51.36,5,15,0651062381f0636a,2026-03-31 17:00:33
Finders Keepers (Bill Hodges Trilogy #2),Fiction,53.53,5,15,edb3097e71330040,2026-03-31 17:00:33
The Time Keeper,Fiction,27.88,5,14,e9906e2f0d189745,2026-03-31 17:00:33
The Testament of Mary,Fiction,52.67,4,14,081305e6df719dff,2026-03-31 17:00:33
The First Hostage (J.B. Collins #2),Fiction,25.85,3,14,a86972014275e072,2026-03-31 17:00:33
Take Me with You,Fiction,45.21,3,14,2c04320e110a14a3,2026-03-31 17:00:33
Still Life with Bread Crumbs,Fiction,26.41,3,14,fe44cc816576c652,2026-03-31 17:00:33
Shtum,Fiction,55.84,4,14,830fb3967c74866d,2026-03-31 17:00:33
